,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,ebitperRevenue,ebtperEBIT,niperEBT,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,Sector,2015 PRICE VAR [%],Class
APOG,771445000,0.1017,606193000,165252000,0,124967000,124967000,40285000,1259000,39766000,11780000,0,0,27986000,0,27986000,0.98,0.95,28841849,28483000,0.37,0.2142,0.088,0.0532,0.036000000000000004,0.0143,67575000,41025000,27986000,0.0515,0.0363,28465000,204000,28669000,154914000,53435000,247430000,193946000,105219000,13813000,3687000,322565000,569995000,47241000,49000,136834000,20659000,20708000,22557000,13801000,0,77057000,213891000,-12960000,228841000,356104000,14017000,-7961000,10412000,89544000,26550000,1936000,52921000,-41852000,-53301000,50373000,-43974000,-10247000,0,-10764000,-17576000,-673000,-8629000,11069000,0.0082,2.6959,3.8266,1.2543,34.2347,86.3316,18.2847,0,0,0,,0.7269552349241601,0,0.053179423,0.9693113954905501,0.703767037,0.214210994,1,0.052220184,0.036277376,0.296232963,0.0919,0.0786,0.0622,0.703767037,0.9693113954905501,0.053179423,5.2633,17.2415,3.9776277933032995,1.353424153,1.808,1.341647544,0.20802578306560998,-32.1742,73.2957,,22.3515,,0.0363,0.0582,0.054832879024745006,0.054955787,32.5854,2.555582384,1.6006419472962998,1.858,0.248,0.9994,0.37799999999999995,0.068599835,0.209160825,2.555582384,1080.020408,1.2644795947624998,1.005796716,0.38462088186951005,27.0844,0.9826,1.858,0.248,0.9994,12.502,16.317999999999998,12.5023,0.727,967644034,959683034,34.2347,1.2543,18.2847,86.3316,2.6959,3.8266,1.244,14.2017,18.1343,86.7001,0.0292,0.0114,0.0582,0.0363,-0.1178,1.808,32.5854,1.891,0.011000000000000001,0.37799999999999995,0.162,0,0.1846,0.7908,0.0543,-1.5763,0.0025,16.5654,0.0622,0.0919,0.0347,110596000,464776000,33539000,320185000,138042000,40738000,44743500,73.2957,22.3515,-32.1742,5.5885,5.2633,17.2415,0.0786,-1.4694,0.1339,0.4445,0.4692,0.4644,0.4412,0.4179,0.0189,0.0256,0.0278,0.3059,0.5956,0.0318,-0.0408,0.087,0.1668,-0.1493,0,0,-0.1179,0,0.0728,0.0184,0.0178,0.0464,0.0354,0.0431,0.2785,0.4822,0.0958,0.0485,-0.3279,0,0.0562,Basic Materials,6.380718343714921,1
AAON,356322000,0.1096,248059000,108263000,0,40562000,40257000,68006000,0,68246000,24088000,0,0,44158000,0,44158000,0.81,0.8,54471469,54809319,0.177,0.3038,0.22399999999999998,0.1915,0.124,0.1058,79799000,68246000,44158000,0.1915,0.1239,33330000,12002000,45332000,44092000,37618000,124940000,91922000,0,4832000,2569000,102034000,226974000,11370000,0,42713000,0,0,1006000,7534000,0,10202000,52915000,0,173843000,174059000,16834000,-45332000,-2102000,31343000,11553000,2178000,53518000,-15808000,0,9779000,-6029000,0,-27748000,-9656000,-37622000,0,9867000,37710000,0.0372,7.0339,7.0339,3.4228,27.642,32.5426,22.7889,22.101925991307997,26.786785524770004,3.3196122473572003,0.008163328,15.240552829017998,6.7956892502129005,0.19152901027722002,1,0.647041585,0.303834734,1,0.190855462,0.12392723435544001,0.35295841514521004,0.2536,0.2537,0.3059,0.647041585,1,0.19152901027722002,8.8493,10.2159,3.876351689,1.5698802506013998,2.925,2.09360148,0.7803244913726499,-55.352,45.1658,,11.6469,,0,0,0,0,0,,1.304006113,0.9764,0.688,0.6081,0.21899999999999997,0.15019561,0.7046227437497701,,,3.3855010121457005,2.101712221,0.218669324,6.5011,0.8057,0.9764,0.688,0.6081,3.176,4.141,3.1757,0,1219616191,1174284191,27.642,3.4228,22.7889,32.5426,7.0339,7.0339,3.2956,14.7155,21.9419,31.1399,0.0362,0.0309,0,0,-0.5681,2.925,0,1.212,0.0079,0.21899999999999997,0.1138,0,0,0.2954,0.0444,-1.3683,0.0061,7.6164,0.3059,0.2536,0.0591,82227000,226974000,72025000,150931000,41577500,9574500,34879000,45.1658,11.6469,-55.352,8.5701,8.8493,10.2159,0.2537,-0.2884,0.2057,0.2123,0.2182,0.1761,0.1912,0.1765,-0.0056,-0.0039,0.5946,-0.0014,-0.1553,0.0906,0.0898,0.107,0.1429,0.0461,0.27,0.2103,0.1101,0.4736,0.1088,0.0932,0.1293,0,0.1059,0.1827,0.1287,0.1704,0.0535,0.0668,0,0,0.1934,Basic Materials,6.843382873799679,1
AKG,0,0,0,0,713000,12025000,16432000,-16432000,89000,-24993000,-2351000,0,0,-22642000,0,-22642000,0.14,0.14,85054338,164415743,0,0,,0,,0,-24750000,-24904000,-22642000,0,0,228680000,0,228680000,150000,0,229058000,249108000,0,0,0,252044000,481102000,15354000,0,15354000,57447000,57447000,0,12084000,0,82169000,97523000,0,-164922000,383579000,0,,,0,154000,2373000,-22842000,-64523000,82352000,0,20193000,59100000,1525000,0,58995000,-2267000,54079000,-87365000,,,,0,11,0,,,,,0,,0.6600993386499301,,,,,,,,,-0.0489,-0.059,-0.0433,,,,,0,0,0,14.918,14.903608180278999,14.89383874,0,0,,0,,0.1194,0.1498,0.130257627,0.130257627,-279.8202,-0.397618675,1.2542448882758999,-0.1389,-0.303,1.3909,0,,,-0.397618675,,-0.354013298,-0.354013298,,0,-0.1377,-0.1389,-0.303,1.3909,2.333,2.926,2.333,0.3494,,,11,0,,0,,,,,,,0.0909,,0.1498,0.1194,,14.918,-279.8202,1.0088,0,0,0,0,0,0,0,-418.9805,0,,-0.0433,-0.0489,,213704000,481102000,131535000,294515000,138544.5,9651309.5,0,0,0,0,0,,0,-0.059,-0.3924,0,-13.9533,-0.322,-12.3802,8,8,0.9333,0.9333,0,-1.3758,-2.3903,,,0,,,0,,,0,,,-0.214,,,0,0.1803,0,0.9865,-0.1321,0,-0.4957,0.4496,Basic Materials,-1.351350045,0
REX,666045000,0.0144,601757000,64288000,0,17846000,17846000,46442000,3898000,55824000,20751000,5156000,-1066000,35073000,0,35073000,4.31,4.29,8077746,8137000,0,0.0965,0.11599999999999999,0.0897,0.053,0.1048,77006000,59722000,40229000,0.0838,0.0527,105649000,0,105649000,16486000,19370000,148810000,202258000,0,71412000,2414000,279058000,427868000,6626000,12226000,32140000,63500000,75726000,0,19613000,0,84975000,117115000,0,357101000,279281000,71412000,-29923000,7305000,13288000,17284000,-64000,64435000,5358000,0,1974000,6832000,-31203000,-2414000,0,-35191000,0,36076000,69793000,0.0904,1.1859,1.1859,0.4968,9.5035,4.7754,5.1349,0,0,0,,2.1965690985118003,0,0.089666614,0.93473092,0.62827816,0.096522007,1,0.069728021,0.052658604148367996,0.37172184006878994,0.11,0.1256,0.1072,0.62827816,0.93473092,0.089666614,25.892,30.0772,3.293046505,1.556659998,4.63,3.800093342,3.287149969,-11.749,9.0345,,3.6311,,0.177,0.2711,0.18524947415404996,0.21330847,15.3212,0.850896654,1.532034045,7.9188,1.96,12.9838,0,0.096742713,1.083153566,0.850896654,5.270325536,,,0,81.8539,4.3103,7.9188,1.96,12.9838,34.321999999999996,52.583,34.3224,9.3064,330864476.2,300941476.2,9.5035,0.4968,5.1349,4.7754,1.1859,1.1859,0.4518,3.908,4.6705,4.3119,0.1052,0.2109,0.2711,0.177,-0.3886,4.63,15.3212,1.8372,0,0,0.0268,0,0,0,-0.008,0.31,-0.0001,57.8742,0.1072,0.11,0.0958,116670000,427868000,31695000,365805000,14026500,5640500,22144500,9.0345,3.6311,-11.749,47.4848,25.892,30.0772,0.1256,0.6585,3.6579,59.6315,59.6292,16.2824,16.3929,16.3214,-0.0163,-0.0111,0,2.7796,3.3048,0.0852,0.6475,0.4969,0.0947,0.941,0.3988,0.0549,0,1.0171,0.0732,0.0786,0.1059,0,0,0,0.4253,-0.2227,0.0556,0.1525,-0.2918,0,0.4224,Basic Materials,-13.84639716,0
CBPX,424502000,0.3632,330173000,94329000,0,33568000,33568000,60761000,29069000,25935000,10044000,0,0,15891000,0,15891000,0.37,0.37,44069000,42940849,0,0.2222,0.258,0.1296,0.037000000000000005,0.161,109321000,55004000,15891000,0.0611,0.0374,15627000,0,15627000,40152000,29564000,96830000,353652000,230754000,10919000,3157000,604151000,700981000,24561000,0,35989000,349125000,349125000,0,12494000,0,361619000,397608000,-3060000,17996000,303373000,10919000,333498000,11487000,11428000,54317000,797000,77991000,-9638000,0,0,-7670000,-216975000,151354000,0,-65621000,-895000,3805000,68353000,-0.4268,2.5762,10.7623,1.8406,47.9189,11.1384,10.0184,9.761911666,47.91021665,1.793492734,0,10.30079539,2.509588041,0.129573006,0.47151116282452005,0.612724118,0.222210967,1,0.143134779,0.037434453,0.38727588201271995,0.0383,0.0524,0.0585,0.612724118,0.47151116282452005,0.129573006,4.4148,14.4462,1.2003381855608999,0.6055827476065699,2.6910000000000003,1.5498902442412998,0.43421601,-32.6824,34.5239,,21.1183,,0.4981,1.1508,0.535059111,0.535059111,1.8922,0.223389903,2.310624215,1.8162,1.5919999999999999,0.3639,0,0.183723516,0.8764216383941701,0.223389903,,8.092031542,8.092031542,0,9.8857,0.3701,1.8162,1.5919999999999999,0.3639,7.065,10.950999999999999,7.0649,8.1304,781343370,1114841370,47.9189,1.8406,10.0184,11.1384,2.5762,10.7623,2.6262,10.1979,14.2945,16.3101,0.0209,0.0875,1.1508,0.4981,3.0506,2.6910000000000003,1.8922,4.9079,0,0,0.0791,0,0.3292,0.1236,0.0227,-0.1774,0.0019,7.5692,0.0585,0.0383,-0.3849,60841000,470227000,-300778000,767736000,31751000,27364500,29385000,34.5239,21.1183,-32.6824,13.3697,4.4148,14.4462,0.0524,-0.2244,3.3927,5.2369,5.763,2.2374,,,-0.0256,,0,3.7561,5.11,,,,,,,,,,,,,,,,0.7196,0.0123,0.2591,-0.3898,121.9746,0,-0.0194,Basic Materials,-0.057242297,0
IPHS,839186000,-0.0059,651722000,187464000,4649000,76020000,80669000,106795000,4354000,97219000,32895000,137000,0,64324000,0,64324000,2.96,2.91,21741864,21753270,1.76,0.2234,0.163,0.121,0.077,0.1178,137034000,101573000,64461000,0.1158,0.0767,36207000,0,36207000,90551000,184621000,371514000,198988000,157909000,0,0,356897000,728411000,53137000,4003000,91946000,132002000,136005000,0,0,0,173458000,265404000,-2813000,390525000,463007000,0,99798000,60135000,34806000,35461000,3280000,126781000,-27955000,0,0,-29398000,-27004000,-29524000,-38394000,-94042000,111000,3452000,98826000,-0.0785,2.7183,4.1252,1.5143,19.7466,12.8658,10.0237,8.084901578888001,15.935139404779001,1.2214359,0.037457126,8.707480677,2.213815141,0.12103752922475002,0.9571342778100501,0.661640214,0.22338790208606998,1,0.127260226,0.076650468,0.33835978563860997,0.1344,0.1389,0.1105,0.661640214,0.9571342778100501,0.12103752922475002,4.2347,4.5846,4.217269383,1.1520776045391998,4.041,1.3786135340308001,0.393785483,-103.3979,39.3847,,23.1117,,0.1867,0.2937,0.22184874514502997,0.227048874,23.3287,0.9321789640086799,1.573218115,5.8281,4.543,1.6644,0.595,0.151076162,0.77950166,0.9321789640086799,31.67149638,4.535181542,1.9108200575743002,0.596884522,38.5775,2.957,5.8281,4.543,1.6644,21.284000000000002,26.226,21.2845,6.2522,1270811951,1370609951,19.7466,1.5143,10.0237,12.8658,2.7183,4.1252,1.6333,10.002,10.8108,13.8689,0.0506,0.0778,0.2937,0.1867,0.7283,4.041,23.3287,1.9709999999999999,0.0301,0.595,0.0906,0.0055,0.2168,0.2205,0.0333,-0.7883,0.0039,37.8422,0.1105,0.1344,0.0835,279568000,570502000,106110000,578354000,89492500,45927000,183044000,39.3847,23.1117,-103.3979,9.3772,4.2347,4.5846,0.1389,-1.2851,0.1842,0.2601,0.2733,0.301,0.3156,0.3167,-0.0082,-0.01,0.2138,0.3829,0.6962,,0.0423,0.0108,,-0.0658,0.3973,,-0.0009,-0.0949,,0.089,0.055,,0.2095,0.2414,0.0239,0.0174,-0.0231,0.0074,-0.1657,0.1836,0.0783,Basic Materials,-48.79908167,0
KMG,353000000,,250000000,103000000,,89000000,89000000,15000000,,0,1000000,,,-1000000,,-1000000,-0.09,-0.09,12000000,12000000,,0.291784703,0.093484419,0,-0.002832861,,33000000,0,-1000000,0,-0.002832861,19000000,,,40000000,45000000,139000000,92000000,41000000,,0,72000000,251000000,37000000,0,58000000,60000000,60000000,,10000000,,72000000,131000000,1000000,91000000,120000000,,41000000,7000000,8000000,18000000,2000000,40000000,-9000000,0,0,-9000000,-25000000,,,-26000000,0,5000000,31000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic Materials,16.717215184214375,1
NX,595384000,0.073,464584000,130800000,0,82150000,116524000,14276000,562000,34702000,5468000,0,-20896000,29234000,0,29234000,0.79,0.78,37535558,37128000,0.16,0.2197,0.121,0.0592,0.049,-0.0204,72174000,35264000,29234000,0.0583,0.0491,120384000,0,120384000,55193000,57358000,260429000,109487000,140696000,0,22987000,256684000,517113000,41488000,199000,74276000,586000,785000,0,4733000,0,21917000,96193000,-5708000,202319000,420920000,0,-119599000,27494000,32589000,36910000,3271000,20778000,-32947000,102270000,0,74124000,-175000,-19032000,-5992000,-24459000,207000,70650000,-12169000,0.1592,1.7598,2.6433,1.2621,25.3418,0,36.1662,34.1558659,24.27620516,1.191987997,0.008443116,11.50913877,1.686046236,0.059229002,0.9840630671506401,0.8424298311336501,0.21969015,1,0.023977803,0.049101084,0.157570169,0.0989,0.0695,0.0277,0.8424298311336501,0.9840630671506401,0.059229002,4.1462,12.0235,5.437942404120999,1.151361501,3.5060000000000002,2.363845657,1.620765792,-45.0633,33.8361,,25.4342,,0.0015,0.0019,0.001390253,0.001861491,62.7473,26.46878981,1.2285303620641002,0.5596,-0.3278,3.2424,0.203,0.034898486,-0.585667533,26.46878981,104.4120603,0.630649225,0.533603842,0.204966819,16.035999999999998,0.7874,0.5596,-0.3278,3.2424,11.337,10.138,11.337,0.0211,751461871.2,631862871.2,25.3418,1.2621,36.1662,0,1.7598,2.6433,1.0613,8.7547,30.4102,-51.924,0.0395,-0.0162,0.0019,0.0015,-1.6571,3.5060000000000002,62.7473,0.7107,0.008,0.203,0.138,0,0.2721,1.5857,0.0553,-0.8926,0.0055,14.2206,0.0277,0.0989,0.2186,186153000,376417000,164236000,182542000,57326500,39510000,49518500,33.8361,25.4342,-45.0633,10.3858,4.1462,12.0235,0.0695,-0.8874,-0.0321,2.9624,1.7585,3.498,3.4688,3.4375,0.0072,0.0221,0,-0.5226,-3.0528,-0.0848,0.0046,-0.1123,-0.1641,-0.1915,-0.2687,-0.0607,0,0.4757,-0.0176,0.0003,-0.0137,-0.0643,0.0592,0,-0.0718,0.3762,-0.0957,0.0042,-0.0904,0,-0.1699,Basic Materials,13.121503803444655,1
GORO,115405000,-0.0825,64534000,50871000,6947000,12336000,19283000,31588000,0,31266000,16230000,0,0,15036000,0,15036000,0.28,0.28,54179369,54119095,0.12,0.4408,0.31,0.2709,0.13,0.1865,35817000,31266000,15036000,0.2709,0.1303,27541000,3447000,30988000,1416000,7295000,43209000,32348000,0,2620000,26772000,62774000,105983000,3892000,1498000,14022000,834000,2332000,0,4167000,0,3827000,17849000,-1171000,2040000,88134000,6067000,-28656000,3510000,8632000,4551000,4951000,37653000,-16135000,1291000,-1805000,-16617000,-1469000,100000,-6494000,-7863000,-605000,12568000,21518000,0.1565,2.0778,2.0778,1.5868,12.0714,8.5009,4.8635,4.559871162656401,11.418783512070998,1.487741683,0.037823362,5.585834349,1.948088466,0.270924137,1,0.480905776,0.440804125,1,0.27371431,0.13028898227980001,0.519094224,0.2443,0.1706,0.316,0.480905776,1,0.270924137,8.7308,15.6344,3.567608507,1.08890105,3.082,2.3109399515047997,1.964127799,-41.26,4.4785,,12.3095,,0.022000000000000002,0.0265,0.009374157,0.025777640218424998,0,16.14622642,1.202521161,0.6957,0.39799999999999996,0.5089,0.429,0.326268359,0.571481688,16.14622642,25.135514018692003,2.3336225596528997,1.66392682,0.43189678105879004,2.1324,0.2778,0.6957,0.39799999999999996,0.5089,1.629,1.9580000000000002,1.6285,0.0431,183126267.2,154470267.2,12.0714,1.5868,4.8635,8.5009,2.0778,2.0778,1.3385,4.3128,4.1025,7.1787,0.0828,0.1175,0.0265,0.022000000000000002,-0.8001,3.082,0,2.5042,0.0355,0.429,0.1069,0.0602,0,0.4285,0.1398,-3.5454,0.0429,3.2016,0.316,0.2443,0.1385,29187000,105983000,25360000,66752000,1861500,3382500,7381500,4.4785,12.3095,-41.26,61.9957,8.7308,15.6344,0.1706,-0.2981,-0.1268,2.4837,2.0579,1.8189,1.8,1.8,0.0162,-0.0123,-0.75,4.4776,124.8363,,0,0.0242,,0,-0.0374,,0,-0.3682,,0.29,-0.0033,,0,-0.37,-0.3862,-0.0232,0.1466,0.1521,-0.3952,-0.2664,-0.2413,Basic Materials,-49.38778354,0
AMTX,207683000,0.17,170539000,37144000,459000,12595000,19211000,17933000,10052000,7139000,6000,0,0,7133000,0,7133000,0.35,0.34,20612110,20371000,0,0.1788,0.105,0.0828,0.034,0.0897,21872000,17191000,7133000,0.0344,0.0343,332000,0,332000,1262000,4491000,7933000,75810000,2504000,0,0,81243000,89176000,8339000,12746000,27316000,64555000,77301000,0,0,0,64832000,92148000,-2962000,-87113000,-2972000,0,76969000,1848000,6231000,4681000,624000,20592000,-1965000,0,0,-1965000,-23059000,5000,0,-23226000,5000,-4594000,18627000,-0.6449,0,0,0.5746,16.5429,6.3321,5.7957,5.727859848,16.535551661293002,0.567923663,0,8.359321964,,0.082775191,0.415275435,0.999159546,0.17884949658854998,1,0.086347944,0.034345613,0.000840454,0.1264,-2.4001,0.1509,0.999159546,0.415275435,0.082775191,4.6851,48.3602,2.739519852,2.328911366,0.29,0.058354078,0.012154048909063998,-9.612,2.2179,,14.6557,,0.8668,-26.0098,1.048260072,1.039984394,1.7102,0.266387239,,1.0108,0.914,0.0163,0,0.09915111,0.904574592,0.266387239,1.615565668,10.47938931,10.47938931,0,10.195,0.3502,1.0108,0.914,0.0163,-0.146,4.255,-0.1459,3.7947,119344116.9,196313116.9,16.5429,0.5746,5.7957,6.3321,0,0,0.9453,8.9755,9.5335,10.5392,0.0604,0.1561,-26.0098,0.8668,3.5191,0.29,1.7102,2.8869,0,0,0.0606,0.0022,0.0281,0.0954,0.0095,-0.4198,0.003,0,0.1509,0.1264,-0.7056,-19383000,86672000,-84215000,136325000,2013000,8852500,4294500,2.2179,14.6557,-9.612,103.1709,4.6851,48.3602,-2.4001,-0.0965,1.0304,2.3619,2.8568,1.2919,1.2734,1.2656,0.0665,0.1019,0,13.2353,7.295,,0.5710000000000001,-0.0938,,0,0,,0,0,,0,0,,0,0,-0.5434,0.0959,-0.082,0.7814,-0.1576,-0.1484,-0.1755,Basic Materials,-51.66666508,0
ICL,6111000000,-0.0257,3915000000,2196000000,87000000,1145000000,1232000000,964000000,157000000,630000000,166000000,2000000,0,464000000,0,464000000,0.365,0.365,1270425548,1270426000,0.098,0.3594,0.19899999999999998,0.1288,0.076,0.0095,1214000000,787000000,466000000,0.1031,0.0759,131000000,116000000,247000000,1194000000,1392000000,3140000000,3927000000,803000000,185000000,297000000,5208000000,8348000000,585000000,603000000,2005000000,2322000000,2925000000,0,296000000,0,3343000000,5348000000,0,2692000000,2974000000,301000000,,,817000000,427000000,12000000,893000000,-835000000,-143000000,-21000000,-996000000,916000000,0,-845000000,70000000,-16000000,-33000000,58000000,,,,1.5072,19.863,158.8033,,8.417390273,16.19984809,1.230032648,0.112415912,8.212297788,2.527481343,0.12878416,0.8005082592121999,0.736507937,0.359351988,1,0.157748323,0.075928653,0.263492063,0.0917,0.156,0.0903,0.736507937,0.8005082592121999,0.12878416,,4.2696,1.556149733,0.7320316243411601,1.5659999999999998,0.718703242,0.065336658,-129.7778,71.3157,,34.9411,,0.3504,0.9835,0.438444109,0.495846754,5.0127,0.30529914529915003,2.8069939475453998,0.7029,0.0457,0.1031,0.268,0.14612992963507998,0.064949608,0.30529914529915003,1.48092869,1.0694610778443001,0.531547619,1.82112069,4.8102,0.3652,0.7029,0.0457,0.1031,2.3409999999999997,5.939,2.3409,2.3024,,,19.863,1.5072,,158.8033,,,,,,,0.0503,,0.9835,0.3504,,1.5659999999999998,5.0127,1.9246,0.0135,0.268,0.1874,0.0142,0.0962,0.9351,0.1366,-1.9555,0.002,,0.0903,0.0917,,1135000000,7545000000,-2208000000,8334000000,1218672500,877277500,1431274500,71.3157,34.9411,-129.7778,5.0145,,4.2696,0.156,-0.6573,-0.0888,-0.3011,-0.1933,-0.4335,-0.4297,-0.4297,0,0,0,-0.2076,-0.8086,,,,,,,,,,,,,,,0,-0.0397,-0.0534,0.047,-0.186,0.43700000000000006,0.0482,0.0115,Basic Materials,-39.55692957,0
NEU,2335405000,0.0241,1669982000,665423000,139183000,163520000,302703000,362720000,16567000,339099000,105844000,0,0,233255000,0,233255000,18.38,18.38,12531045,12531045,4.7,0.2849,0.17,0.1523,0.1,0.075,397204000,355666000,233255000,0.1452,0.0999,103003000,0,103003000,302803000,348420000,797191000,307859000,16859000,0,56336000,434734000,1231925000,137688000,0,259674000,363526000,363526000,0,6462000,0,551210000,810884000,-139160000,560201000,421041000,0,260523000,42965000,121986000,41538000,0,234958000,-59716000,0,-1944000,-66606000,14000000,-248509000,-59400000,-295370000,-8682000,-135700000,175242000,-0.0515,12.0099,12.5108,2.1652,21.9548,28.8553,21.5215,20.11727707,20.26415376,2.023938112,0.012566867,13.07450123,11.22625869,0.152293071,0.953419781,0.6878669651045899,0.28492831,1,0.15531353234235998,0.099877751,0.312133035,0.2759,0.5539999999999999,0.2608,0.6878669651045899,0.953419781,0.152293071,4.0385,7.1208,7.585956558034701,1.8957363475861002,3.07,1.562751758,0.396662739,-76.1525,47.325,,21.5192,,0.2951,0.8634,0.46334602398520003,0.46334602398520003,21.4683,0.6463306613557199,2.925902703,18.7501,13.985,8.2198,0.256,0.10060696110525001,0.7458439380655301,0.6463306613557199,,3.934590395,1.9725141878505001,0.25465692053760997,186.3695,18.6142,18.7501,13.985,8.2198,33.6,96.964,33.5998,29.01,5056652589,5317175589,21.9548,2.1652,21.5215,28.8553,12.0099,12.5108,2.2768,13.3865,22.6303,30.3419,0.0455,0.0347,0.8634,0.2951,0.6559,3.07,21.4683,1.0073,0.0116,0.256,0.07,0.0596,0.0137,0.2542,0.0256,-1.4376,0,117.8782,0.2608,0.2759,-0.0027,537517000,1215066000,-13693000,1215915000,306325000,135910000,327969000,47.325,21.5192,-76.1525,7.6239,4.0385,7.1208,0.5539999999999999,-4.7654,0.0186,-0.0677,0.0309,-0.1189,-0.0764,-0.0764,-0.055,-0.064,0.2368,-0.1546,-0.2015,0.1343,0.1312,0.0611,0.2403,0.0479,0.1166,0.2528,0.1177,0.0724,0.0938,0.022000000000000002,-0.0572,0,0.3432,0.2529,-0.0227,0.133,-0.0718,-0.2217,0.0402,0.0191,-0.0082,Basic Materials,-3.993375654,0
